,old_index,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Website,Known_For2,Known_For22
668,1160,Dilli 6 On Wheels,"North Indian, Street Food",300," Sector 31, Gurgaon",4.1,2133,https://www.zomato.com/ncr/dilli-6-on-wheels-sector-31,"Aloo Pyaz Kulcha, Rajma Chawal, Lassi, Raita, Naan, Chutney","Casual Seating Area, Low Price, Sitting, Nice Service, Polite Staff, Good Taste"
669,1161,Amritsari Kulcha King,North Indian,200," NIT, Faridabad",4.1,520,https://www.zomato.com/ncr/amritsari-kulcha-king-nit-faridabad,"Crispy Naan, Chur Chur Naan Thali, Malai Chaap, Kadhai Paneer","Very Cheap, Desi Vibes, Pocket Friendly, Family Crowd, Nice Food, Tasty Food"
670,1162,Anand Vaishno Dhaba,North Indian,300," Uttam Nagar, New Delhi",4.1,511,https://www.zomato.com/ncr/anand-vaishno-dhaba-uttam-nagar-new-delhi,"Smoothies, Hot Chocolate, White Sauce Pasta, Shakes, Nachos, Oreo Shake","Good Quality Food, Cafe, Interior, Great Ambience, Good Music, Amazing Place"
671,1163,Zufruta Cafe & Juice Lounge,"Italian, Mexican, Lebanese, Fast Food, Burger, Sandwich, Beverages",500," Vaishali, Ghaziabad",4.1,223,https://www.zomato.com/ncr/zufruta-cafe-juice-lounge-vaishali-ghaziabad,"Paneer Dhaniya Adraki, Fried Mushrooms, Schezwan Rice, Authentic Punjabi Food, Egg Fried Rice, Chicken 65","Tasty Stuff, Happy Hour, Good Offers, Gastronomical Experience, Themed Decor, Friendly Service"
672,1165,Pifi Pizza,"Pizza, Fast Food",600," Rohini, New Delhi",4.1,244,https://www.zomato.com/ncr/pifi-pizza-rohini-new-delhi,"Paneer Lababdar, Chilli Potato, Manchurian, Spring Roll","Comfortable Seating Area, Nice Service, Delivery Time, Nice Ambience, Nice Food, Awesome Food"
673,1166,BRYC Cafe & Restaurant,"North Indian, Chinese, Fast Food",600," Najafgarh, New Delhi",4.1,489,https://www.zomato.com/ncr/bryc-cafe-restaurant-najafgarh-new-delhi,"Afghani Chap, Mixed Vegetables, Veg Hakka Noodles, Chilli Potatoes, Paneer Lababdar, Butter Naan","Elegantly Decorated, Cute Little Place, Nice Crowd, Great Recommendations, Mood, Low Price"
674,1167,Delicious Mood,"North Indian, Chinese, Mughlai, Biryani, Fast Food",450," NIT, Faridabad",4.1,375,https://www.zomato.com/ncr/delicious-mood-2-nit-faridabad,"Kit Kat Shake, Icecream, Chocolate Fudge, Peri Peri Fries, Ice Creams, Red Sauce Pasta","Casual Seating Area, Economical, Nice Crowd, Great Recommendations, Good Packing, Great Ambiance"
675,1168,Cold Rock Cafe,"Pizza, Fast Food, Chinese, Desserts, Beverages",500," Sector 72, Noida",4.1,500,https://www.zomato.com/ncr/cold-rock-cafe-sector-72-noida,"Panneer Butter Masala, Rajma Rice, Gulab Jamun, Thali, Fried Rice, Naan","Pocket Friendly, Great Recommendations, Prompt Service, Food Taste, Good Quality Food, Nice Food"
676,1169,Dheeraj Vaishno Dhaba,"North Indian, Chinese, Momos, Beverages",400," Udyog Vihar, Gurgaon",4.1,650,https://www.zomato.com/ncr/dheeraj-vaishno-dhaba-udyog-vihar,"Thai Chilli Chicken, Chicken Dimsums, Thai Curry, Fish, Fried Rice","Attitude, Great Food, Quantity, Menu, Good Food, Staff"
677,1171,Saffron Biryani,"Biryani, Kebab",300," MG Road, Gurgaon",4.1,266,https://www.zomato.com/ncr/saffron-biryani-mg-road-gurgaon,"Tawa Chicken Seekh, Mutton Raan, Mughlai Food, Chicken Lollipop, Chicken Biryani, Rolls","Polite Staff, Main Course, Good Place, Ambiance, Food Quality, Great Place"
678,1173,81C Legacy,"North Indian, Mughlai, Healthy Food, Chinese, Fast Food",900," Omega 2, Greater Noida",4.1,198,https://www.zomato.com/ncr/81c-legacy-omega-2-greater-noida,"Taco Pizza, Veggie Delite, Quesadilla, Stuffed Garlic Bread, Tacos, Paneer Pizza","Tasty Stuff, On Time Delivery, Elegantly Decorated, Pocket Friendly, Great Recommendations, Great Ambiance"
679,1174,The Pizza Square,"Pizza, Fast Food, Beverages",500," Sector 83, Gurgaon",4.1,487,https://www.zomato.com/ncr/the-pizza-square-3-sector-83,"Mughlai Chaap, Noodle, Chilli Potatoes, Veg Thali, Daal Makhni, Chilly Chicken","Bang for the Buck, Great Recommendations, Great Ambiance, Prompt Service, Amazing Food, Owner"
680,1175,Food Mistri,"North Indian, Chinese, Fast Food, Rolls",500," Indirapuram, Ghaziabad",4.1,460,https://www.zomato.com/ncr/food-mistri-indirapuram-ghaziabad,"Keema Curry, Murg Rara, Navratan Korma, Murg Makhani, Murg Tikka, Soya Tikka","Pocket Friendly Prices, Comfortable Seating, Quick Delivery, Best Food under Best Budget, Spill Proof Packaging, Portion"
681,1176,The Taste Of Mughals,"North Indian, Mughlai",700," Baani Square, Sector 50, Gurgaon",4.1,486,https://www.zomato.com/ncr/the-taste-of-mughals-sector-50,"Bhindi Fry, Matar Mushroom, Paneer Parantha, Paneer Bhurji, Chana Masala, Dal Fry","Food is 5 Star, Tasty Stuff, Many Choices, Delivery on Time, Inexpensive, Nice Crowd"
682,1178,7 Old Town,"North Indian, Asian, Continental",1700," Hauz Khas, New Delhi",4.0,222,https://www.zomato.com/ncr/7-old-town-hauz-khas-new-delhi,"Daal Ardor, Stuffed Mushroom Caps, Avalanche, Virgin Pinacolada, Dragon Chicken, Thali Options","Food Nice Tasty and Fresh, Good Outdoor Seating, No Cover Charge, A Black Tie Crowd, Royal Ambience, Ambience is very Nice"
683,1179,Ardor 2.1,"North Indian, Chinese, Continental, Italian, Pizza, Seafood, Desserts, Beverages",1800," Connaught Place, New Delhi",4.0,4138,https://www.zomato.com/ncr/ardor-2-1-connaught-place-new-delhi,"Fruit Passion Mocktail, Veg Ceaser Salad, Chicken Tikka Pizza, Sangria, White Sauce Pasta, Hummus","Discriminative Management, Kid Friendly, Live Entertainment, Great Food Great Service, Rooftop Ambience, Peaceful Ambience"
